who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
386,will-vote,A,susceptible,FALSE,neutral,-13.07700797,-3.105387923
464,will-not-vote,None,susceptible,FALSE,neutral,-14.62871774,-8.723662418
39,will-not-vote,A,susceptible,FALSE,neutral,8.094668069,-13.1224365
260,will-vote,B,susceptible,FALSE,neutral,4.025773755,10.64068265
157,will-not-vote,B,susceptible,FALSE,neutral,-8.214778543,13.39379563
409,will-vote,B,susceptible,FALSE,neutral,-7.720780621,-14.72580167
414,will-vote,A,susceptible,FALSE,neutral,5.062813199,13.33966287
288,will-not-vote,A,susceptible,FALSE,neutral,-0.598179238,-9.916532031
43,will-vote,A,susceptible,FALSE,neutral,-2.603588442,5.18033045
320,will-vote,B,susceptible,FALSE,neutral,-12.52567014,-0.657771731
168,will-vote,A,susceptible,FALSE,neutral,-1.123608579,2.710495903
51,will-vote,A,susceptible,FALSE,neutral,-15.76508987,-14.52607907
419,will-vote,B,susceptible,FALSE,neutral,10.97762559,6.855922747
187,will-vote,A,susceptible,FALSE,neutral,12.32125007,12.20623699
432,will-vote,B,susceptible,FALSE,neutral,4.019571741,5.287768664
263,will-not-vote,A,susceptible,FALSE,neutral,0.901712011,13.28813746
392,will-vote,A,susceptible,FALSE,neutral,1.495449325,11.04383655
244,will-not-vote,A,susceptible,FALSE,neutral,-6.713647712,-10.94673782
226,will-not-vote,None,susceptible,FALSE,neutral,1.827416804,-4.095514717
265,will-vote,B,susceptible,FALSE,neutral,-14.45652532,12.37462612
64,will-vote,B,susceptible,FALSE,neutral,2.921433404,10.93085305
131,will-vote,B,susceptible,FALSE,neutral,-1.112938887,-4.07056678
81,will-not-vote,None,susceptible,FALSE,neutral,-8.045122316,-5.611421596
435,will-vote,B,susceptible,FALSE,neutral,-3.304458731,-8.468911251
450,will-vote,B,susceptible,FALSE,neutral,2.089334994,10.80766061
366,will-vote,B,susceptible,FALSE,neutral,-3.616912527,-13.49811165
493,will-vote,A,susceptible,FALSE,neutral,2.249670521,-7.514314419
236,will-vote,A,susceptible,FALSE,neutral,6.407786764,-11.04266074
243,will-vote,B,susceptible,FALSE,neutral,-8.361777815,-12.22857448
401,will-not-vote,A,susceptible,FALSE,neutral,13.84099571,7.98081959
308,will-vote,A,susceptible,FALSE,neutral,-6.084669101,11.8938177
480,will-vote,A,susceptible,FALSE,neutral,12.63532143,-10.89388628
32,will-vote,B,susceptible,FALSE,neutral,-10.29639848,-4.633307228
109,will-not-vote,B,susceptible,FALSE,neutral,3.929703874,-9.124337371
467,will-vote,A,susceptible,FALSE,neutral,6.854620626,-2.738549115
499,will-vote,B,infected,TRUE,partyB,12.76297729,2.348804029
136,will-not-vote,B,susceptible,FALSE,neutral,6.112748376,14.30120637
40,will-vote,B,susceptible,FALSE,neutral,8.224989597,0.808156868
269,will-vote,B,susceptible,FALSE,neutral,8.522601244,16.36605221
261,will-vote,A,susceptible,FALSE,neutral,2.655547671,1.071921495
30,will-not-vote,None,susceptible,FALSE,neutral,14.65341038,11.71327029
227,will-not-vote,None,susceptible,FALSE,neutral,2.754747626,10.53688204
286,will-vote,A,susceptible,FALSE,neutral,9.955825192,6.790392117
251,will-vote,B,susceptible,FALSE,neutral,8.158622697,1.708800452
82,will-vote,B,susceptible,FALSE,neutral,14.64751177,-6.11300935
15,will-not-vote,None,infected,FALSE,neutral,11.41801565,10.49868962
217,will-not-vote,None,susceptible,FALSE,neutral,-9.03238879,12.19641944
448,will-vote,B,susceptible,FALSE,neutral,9.328859897,6.860753731
177,will-vote,A,susceptible,FALSE,neutral,-8.439917464,10.01674551
461,will-vote,B,infected,TRUE,partyB,-9.376009067,-12.09285601
298,will-vote,B,susceptible,FALSE,neutral,4.7674763,4.663036241
361,will-not-vote,None,susceptible,FALSE,neutral,-6.879177769,-11.01393283
487,will-not-vote,B,susceptible,FALSE,neutral,11.90627081,4.254509741
248,will-vote,A,susceptible,FALSE,neutral,-13.05130907,8.468891066
181,will-vote,A,susceptible,FALSE,neutral,-5.829306049,-4.638929738
413,will-vote,B,susceptible,FALSE,neutral,7.28859681,-0.820627717
353,will-vote,B,susceptible,FALSE,neutral,-5.711260056,-14.38482706
498,will-vote,B,susceptible,FALSE,neutral,1.582035071,13.37963886
276,will-not-vote,None,susceptible,FALSE,neutral,-9.713763201,-9.745783642
50,will-not-vote,A,susceptible,FALSE,neutral,-13.13357821,8.001211598
203,will-vote,A,susceptible,FALSE,neutral,-12.84368488,-7.047082174
246,will-not-vote,A,susceptible,FALSE,neutral,-8.186246716,-15.00973437
451,will-vote,B,susceptible,FALSE,neutral,-3.164190751,16.25285684
188,will-vote,A,susceptible,FALSE,neutral,3.932470674,4.112302064
48,will-vote,A,susceptible,FALSE,neutral,-12.73066274,2.346448024
253,will-not-vote,None,susceptible,FALSE,neutral,4.779419281,-1.660349476
474,will-vote,B,susceptible,FALSE,neutral,-9.384787531,-13.80172006
313,will-vote,B,infected,TRUE,partyB,6.803909064,1.558388091
302,will-vote,B,susceptible,FALSE,neutral,6.315056083,-12.37577066
190,will-not-vote,A,susceptible,FALSE,neutral,2.656040392,-6.123925088
125,will-vote,A,susceptible,FALSE,neutral,7.574100008,-13.294617
67,will-not-vote,A,susceptible,FALSE,neutral,5.679235039,10.16489724
7,will-not-vote,A,susceptible,FALSE,neutral,3.812435223,-15.43631377
347,will-vote,B,susceptible,FALSE,neutral,14.67427321,10.50342193
85,will-vote,A,susceptible,FALSE,neutral,-7.756245718,-6.688888709
149,will-vote,B,susceptible,FALSE,neutral,-3.181054119,-9.0170662
456,will-vote,B,susceptible,FALSE,neutral,-7.654097411,-3.343950326
420,will-vote,A,susceptible,FALSE,neutral,0.306578141,1.082849033
27,will-vote,A,susceptible,FALSE,neutral,9.877102525,-8.163027576
145,will-vote,B,susceptible,FALSE,neutral,9.649967542,-1.655951928
134,will-vote,A,susceptible,FALSE,neutral,1.170325147,-3.048995161
399,will-not-vote,A,susceptible,FALSE,neutral,10.65521793,1.222702823
26,will-vote,B,susceptible,FALSE,neutral,-15.87956958,-2.376135803
73,will-vote,A,susceptible,FALSE,neutral,-4.121429085,-9.897121651
397,will-vote,A,susceptible,FALSE,neutral,0.767509094,-15.54312742
250,will-vote,A,susceptible,FALSE,neutral,6.702162963,-4.168521737
34,will-not-vote,None,susceptible,FALSE,neutral,15.9315176,1.058942248
144,will-vote,B,susceptible,FALSE,neutral,-3.10287119,-1.076092954
111,will-vote,B,susceptible,FALSE,neutral,6.627343113,14.43299235
139,will-vote,B,susceptible,FALSE,neutral,5.625353274,-5.498071467
28,will-vote,A,susceptible,FALSE,neutral,0.035167735,-7.190797366
284,will-vote,B,susceptible,FALSE,neutral,-1.517086535,-13.08457575
158,will-vote,A,susceptible,FALSE,neutral,9.925418263,-16.09743979
431,will-vote,A,susceptible,FALSE,neutral,-11.70513084,16.01106167
29,will-vote,A,infected,TRUE,partyA,10.86366751,-5.163889081
142,will-vote,B,susceptible,FALSE,neutral,-11.76267546,-1.655678048
372,will-vote,B,susceptible,FALSE,neutral,-9.82192118,13.06629875
391,will-vote,B,susceptible,FALSE,neutral,-13.373525,-16.11555543
