id,breed,ideology,p_A,p_B,p_N,engagement,susceptibility,voting_intention,xcor,ycor
96,youths,A,0.524100252571881,0.12394667169267447,0.35195307573544454,7,0.1,true,-5.455244089969074,-17.77362855427721
5,youths,None,0,0.2890521887581877,0.7109478112418123,8,0.2201917836305684,false,3.150503491104377,2.1662504914217244
376,youths,None,0.2804634264678194,0.3584351129759613,0.3611014605562192,9,0.1,true,4.218646314743669,-4.602445224176613
457,youths,None,0.018275017726691933,0,0.9817249822733081,3,0.2610128375146687,false,-1.4250209439199253,1.4844512699978623
225,youths,B,0.3530321287747134,0.4924408121183831,0.15452705910690354,2,0.1,true,7.621937210480276,20.229319500449527
499,youths,None,0,0,1,5,0.1,false,-13.763226431880113,-8.015614085231462
539,nonyouths,A,0.48731137202345237,0.16659635627969208,0.34609227169685547,6,0.1,true,3.8135209945978445,-4.078989914815331
525,nonyouths,None,0.061013667592532364,0.4160704261799143,0.5229159062275534,2,0.1,false,-6.86497882096084,3.57945576153276
529,nonyouths,None,0,0.2690145130040057,0.7309854869959944,6,0.1,false,-9.664890806501147,17.70350178352875
276,youths,None,0.28350080600843436,0.23341428741209758,0.48308490657946807,9,0.1,true,16.02563663357757,8.069578498387173
425,youths,None,0,0.004092875564668875,0.9959071244353311,3,0.13583350253303453,false,11.57948085267494,5.894846970976047
531,nonyouths,B,0.31528338361235,0.39577098998901983,0.2889456263986302,5,0.1,true,-13.262775448006987,0.30174102456879837
532,nonyouths,None,0.22819259587447072,0.2795059584777967,0.4923014456477326,4,0.1,true,-11.597885970181515,-1.8870305744348208
423,youths,A,0.5570598532940582,0.31153438192346095,0.1314057647824809,3,0.1,false,16.228600885475984,-2.540261072830333
195,youths,None,0,0.09254556009027676,0.9074544399097232,8,0.1,false,-17.0148147717913,-3.3129250804570773
144,youths,None,0.2516405214020922,0.2324303542431111,0.5159291243547968,10,0.1,false,-7.941860399335429,10.928740206616304
303,youths,None,0,0.07926851315398004,0.92073148684602,4,0.1,false,8.016783626464985,-0.39381402161260937
380,youths,B,0.4247580250571237,0.5088761828229571,0.06636579211991928,5,0.1,true,1.1178164891606954,11.886529068587201
182,youths,B,0,0.6644200854229934,0.33557991457700664,7,0.1,true,17.7478958224552,-8.477105970566194
8,youths,None,0.03698604299541386,0.4310033216304958,0.5320106353740903,6,0.1,true,16.96733674944661,-8.710078771680422
346,youths,A,0.9212933905137233,0.07870660948627685,0,0,0.1,true,-16.867185722579386,-15.993838427856428
284,youths,None,0.15570697944076894,0.32815426138718923,0.5161387591720419,0,0.1,false,5.527272319195166,11.13928475765022
264,youths,None,0.3283135667402553,0.33517624337732443,0.3365101898824203,10,0.13898455671724563,true,-1.0370555058612752,-13.393298456408944
489,youths,None,0.09559087026264479,0.36315905610703636,0.541250073630319,6,0.1,true,4.874793432087852,-3.8636370787682317
430,youths,None,0.3553168231433019,0.1977906740348926,0.4468925028218054,10,0.1,true,-18.818340758880783,-1.1425696263136018
409,youths,None,0.3733395601750277,0,0.6266604398249723,1,0.2797522612528495,false,14.831529930905575,7.358158361380703
46,youths,A,0.6659520191421091,0,0.33404798085789095,5,0.10568203269723671,false,-11.146347905970082,9.685445705064293
553,nonyouths,None,0.4027013930055374,0.11279153723922919,0.4845070697552335,8,0.1,true,0.1048072735618959,-17.807049092828272
70,youths,None,0.15772188855381147,0.41168714148473606,0.43059096996145246,8,0.1,true,-2.920935456742402,15.950525351079207
466,youths,A,0.9591276344728166,0.04087236552718333,0,1,0.16703328330149175,true,2.040765043299281,14.284474530316409
